Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2026-03-02 21:25:00+00:00,69358.65625,69402.0546875,69343.1953125,69402.0546875,0
2026-03-02 21:30:00+00:00,69430.125,69433.5390625,69388.4375,69433.5390625,0
2026-03-02 21:35:00+00:00,69414.328125,69442.96875,69404.7265625,69442.96875,0
2026-03-02 21:40:00+00:00,69440.0625,69452.671875,69438.8359375,69438.8359375,10588160
2026-03-02 21:45:00+00:00,69478.0078125,69525.984375,69460.2734375,69460.2734375,0
2026-03-02 21:50:00+00:00,69472.1640625,69499.78125,69445.8203125,69479.1015625,8359936
2026-03-02 21:55:00+00:00,69425.90625,69503.0,69415.15625,69503.0,23240704
2026-03-02 22:00:00+00:00,69497.6640625,69497.6640625,69429.8828125,69429.8828125,0
2026-03-02 22:05:00+00:00,69473.6796875,69473.6796875,69359.109375,69359.109375,1169637376
2026-03-02 22:10:00+00:00,69333.8671875,69476.6640625,69333.8671875,69464.515625,0
2026-03-02 22:15:00+00:00,69268.078125,69268.078125,69187.3359375,69262.953125,0
2026-03-02 22:20:00+00:00,69278.0625,69300.796875,69213.75,69213.75,0
2026-03-02 22:25:00+00:00,69372.3046875,69372.3046875,69300.96875,69300.96875,0
2026-03-02 22:30:00+00:00,69331.9453125,69409.75,69331.9453125,69375.921875,424382464
2026-03-02 22:35:00+00:00,69337.828125,69364.234375,69322.2890625,69322.2890625,0
2026-03-02 22:40:00+00:00,69368.96875,69381.09375,69355.1953125,69381.09375,0
2026-03-02 22:45:00+00:00,69326.234375,69426.0078125,69326.234375,69383.90625,146432000
2026-03-02 22:50:00+00:00,69287.0390625,69343.1953125,69287.0390625,69343.1953125,13094912
2026-03-02 22:55:00+00:00,69370.515625,69370.515625,69320.4453125,69343.515625,70356992
2026-03-02 23:00:00+00:00,69291.1796875,69449.265625,69291.1796875,69395.6796875,0
2026-03-02 23:05:00+00:00,69347.296875,69352.7265625,69314.125,69352.7265625,0
2026-03-02 23:10:00+00:00,69279.4765625,69332.7265625,69279.4765625,69325.2890625,0
2026-03-02 23:15:00+00:00,69222.34375,69258.09375,69187.9921875,69234.2109375,0
2026-03-02 23:20:00+00:00,69040.71875,69237.5234375,69040.71875,69232.8046875,0
2026-03-02 23:25:00+00:00,69030.8984375,69129.5703125,69030.8984375,69101.109375,69943296
2026-03-02 23:30:00+00:00,68872.5390625,69029.890625,68855.28125,69029.890625,0
2026-03-02 23:35:00+00:00,68875.875,68901.4609375,68827.8515625,68843.7734375,312745984
2026-03-02 23:40:00+00:00,68839.0859375,68849.96875,68816.0390625,68849.96875,0
2026-03-02 23:45:00+00:00,68929.2734375,68941.0546875,68789.625,68789.625,61370368
2026-03-02 23:50:00+00:00,68892.65625,68926.7421875,68892.65625,68926.7421875,217817088
2026-03-02 23:55:00+00:00,68793.3828125,68814.6796875,68793.3828125,68814.6796875,0
2026-03-03 00:00:00+00:00,68918.375,68918.375,68804.3515625,68804.5859375,0
2026-03-03 00:05:00+00:00,68909.171875,68960.203125,68909.171875,68936.1171875,0
2026-03-03 00:10:00+00:00,68812.5859375,68978.0546875,68812.5859375,68978.0546875,100139008
2026-03-03 00:15:00+00:00,68803.8046875,68865.4453125,68786.4140625,68800.3984375,0
2026-03-03 00:20:00+00:00,68720.2109375,68755.7109375,68708.09375,68739.671875,24186880
2026-03-03 00:25:00+00:00,68767.8671875,68767.8671875,68701.4375,68732.9921875,242991104
2026-03-03 00:30:00+00:00,68951.8359375,68951.8359375,68746.40625,68800.3125,44003328
2026-03-03 00:35:00+00:00,69099.5703125,69099.5703125,68951.6875,68951.6875,13537280
2026-03-03 00:40:00+00:00,69149.15625,69151.0859375,69108.1328125,69108.1328125,112427008
2026-03-03 00:45:00+00:00,68986.625,69137.015625,68986.625,69111.640625,0
2026-03-03 00:50:00+00:00,68997.3984375,69012.71875,68932.234375,68982.65625,0
2026-03-03 00:55:00+00:00,69013.921875,69013.921875,68931.1796875,68981.6640625,935219200
2026-03-03 01:00:00+00:00,69026.2265625,69103.2265625,68977.7421875,69103.2265625,0
2026-03-03 01:05:00+00:00,69090.1875,69118.96875,69044.515625,69118.96875,0
2026-03-03 01:10:00+00:00,69175.6640625,69220.9921875,69082.7265625,69082.7265625,156106752
2026-03-03 01:15:00+00:00,68904.140625,69158.9921875,68904.140625,69158.9921875,0
2026-03-03 01:20:00+00:00,69017.9765625,69017.9765625,68899.4921875,68953.234375,99700736
2026-03-03 01:25:00+00:00,68981.625,69015.546875,68981.625,69012.1328125,0
2026-03-03 01:30:00+00:00,68941.46875,68941.46875,68805.8046875,68915.1875,0
2026-03-03 01:35:00+00:00,68930.171875,68999.375,68913.9140625,68999.375,138694656
2026-03-03 01:40:00+00:00,68990.21875,68993.8671875,68900.1640625,68993.8671875,56131584
2026-03-03 01:45:00+00:00,68973.4296875,69020.0546875,68904.421875,69020.0546875,0
2026-03-03 01:50:00+00:00,68900.5234375,69023.5390625,68900.5234375,69023.5390625,0
2026-03-03 01:55:00+00:00,68807.1796875,68882.015625,68799.0078125,68882.015625,0
2026-03-03 02:00:00+00:00,68497.0546875,68753.421875,68497.0546875,68753.421875,38694912
2026-03-03 02:05:00+00:00,68619.3125,68619.3125,68538.578125,68562.2109375,1103773696
2026-03-03 02:10:00+00:00,68648.8515625,68648.8515625,68636.8828125,68636.8828125,0
2026-03-03 02:15:00+00:00,68522.625,68620.0625,68522.625,68617.8359375,193052672
2026-03-03 02:20:00+00:00,68314.796875,68530.546875,68266.515625,68530.546875,0
2026-03-03 02:25:00+00:00,68440.671875,68449.4453125,68374.421875,68374.421875,137998336
2026-03-03 02:30:00+00:00,68449.59375,68500.796875,68432.1640625,68432.1640625,346718208
2026-03-03 02:35:00+00:00,68420.03125,68500.3671875,68410.890625,68500.3671875,0
2026-03-03 02:40:00+00:00,68436.625,68437.2265625,68377.1953125,68399.265625,0
2026-03-03 02:45:00+00:00,68592.265625,68592.265625,68448.6875,68448.6875,50225152
2026-03-03 02:50:00+00:00,68477.3125,68583.5546875,68477.3125,68583.5546875,13656064
2026-03-03 02:55:00+00:00,68532.8984375,68532.8984375,68465.015625,68465.015625,79278080
2026-03-03 03:00:00+00:00,68438.25,68524.828125,68438.25,68524.828125,184029184
2026-03-03 03:05:00+00:00,68336.15625,68411.6015625,68336.15625,68395.015625,0
2026-03-03 03:10:00+00:00,68445.34375,68445.34375,68351.8203125,68361.3515625,0
2026-03-03 03:15:00+00:00,68309.3125,68457.9921875,68309.3125,68452.8984375,202145792
2026-03-03 03:20:00+00:00,68272.78125,68315.46875,68250.2578125,68315.46875,0
2026-03-03 03:25:00+00:00,68389.5625,68389.5625,68314.1171875,68314.1171875,60817408
2026-03-03 03:30:00+00:00,68484.265625,68484.265625,68344.9140625,68405.84375,18812928
2026-03-03 03:35:00+00:00,68476.84375,68476.84375,68456.3671875,68462.1328125,0
2026-03-03 03:40:00+00:00,68411.9453125,68464.2421875,68369.9453125,68464.2421875,0
2026-03-03 03:45:00+00:00,68343.4296875,68407.5234375,68337.7421875,68407.5234375,7254016
2026-03-03 03:50:00+00:00,68356.734375,68356.734375,68340.2421875,68344.6328125,0
2026-03-03 03:55:00+00:00,68360.0859375,68360.0859375,68319.546875,68320.0234375,184848384
2026-03-03 04:00:00+00:00,68384.6328125,68426.8203125,68364.46875,68364.46875,0
2026-03-03 04:05:00+00:00,68385.1875,68429.125,68385.1875,68416.4609375,0
2026-03-03 04:10:00+00:00,68426.8125,68426.8125,68328.328125,68328.328125,0
2026-03-03 04:15:00+00:00,68333.7109375,68360.5,68288.125,68356.6953125,204943360
2026-03-03 04:20:00+00:00,68356.40625,68368.5546875,68351.9375,68351.9375,18149376
2026-03-03 04:25:00+00:00,68315.578125,68352.2265625,68315.578125,68352.2265625,0
2026-03-03 04:30:00+00:00,68368.5859375,68368.5859375,68309.6328125,68309.6328125,0
2026-03-03 04:35:00+00:00,68262.3671875,68367.9921875,68262.3671875,68350.984375,0
2026-03-03 04:40:00+00:00,68183.7421875,68197.15625,68183.7421875,68197.15625,0
2026-03-03 04:45:00+00:00,68103.3671875,68185.7421875,68103.3671875,68183.9609375,0
2026-03-03 04:50:00+00:00,68130.453125,68130.453125,68053.5078125,68084.6015625,76677120
2026-03-03 04:55:00+00:00,68106.1875,68123.2734375,68106.1875,68123.2734375,228007936
2026-03-03 05:00:00+00:00,68155.953125,68155.953125,68096.703125,68111.9296875,0
2026-03-03 05:05:00+00:00,68277.0625,68277.0625,68136.5625,68154.1953125,0
2026-03-03 05:10:00+00:00,68261.7421875,68304.5,68260.1640625,68304.5,12201984
2026-03-03 05:15:00+00:00,68441.2890625,68464.3046875,68364.046875,68364.046875,0
2026-03-03 05:20:00+00:00,68328.78125,68525.1953125,68328.78125,68525.1953125,79634432
2026-03-03 05:25:00+00:00,68416.9921875,68431.2421875,68392.984375,68392.984375,0
2026-03-03 05:30:00+00:00,68306.5703125,68403.96875,68290.9140625,68403.96875,317767680
2026-03-03 05:35:00+00:00,68098.6875,68217.90625,68098.6875,68217.90625,34881536
2026-03-03 05:40:00+00:00,68122.9921875,68122.9921875,68118.7265625,68118.7265625,0
2026-03-03 05:45:00+00:00,67914.3984375,68096.546875,67914.3984375,68088.9921875,0
2026-03-03 05:50:00+00:00,67944.1875,67944.1875,67868.5234375,67873.2734375,0
2026-03-03 05:55:00+00:00,67875.953125,67920.421875,67864.109375,67920.421875,343093248
2026-03-03 06:00:00+00:00,67935.5703125,67992.65625,67935.5703125,67938.8359375,0
2026-03-03 06:05:00+00:00,67877.8984375,67936.328125,67877.8984375,67933.5625,48599040
2026-03-03 06:10:00+00:00,67873.4296875,67934.703125,67854.296875,67934.703125,214446080
2026-03-03 06:15:00+00:00,67949.4296875,67949.4296875,67881.4296875,67943.5859375,503808
2026-03-03 06:20:00+00:00,67981.703125,67981.703125,67933.2109375,67938.1953125,0
2026-03-03 06:25:00+00:00,67933.390625,67945.1640625,67919.984375,67920.90625,0
2026-03-03 06:30:00+00:00,67906.0,67913.59375,67874.390625,67898.8046875,233725952
2026-03-03 06:35:00+00:00,67873.4765625,67945.0234375,67873.4765625,67899.2578125,27590656
2026-03-03 06:40:00+00:00,67955.8515625,67955.8515625,67915.515625,67944.5390625,31285248
2026-03-03 06:45:00+00:00,67875.1796875,67984.7890625,67875.1796875,67984.7890625,52760576
2026-03-03 06:50:00+00:00,67970.9765625,67970.9765625,67834.8125,67834.8125,0
2026-03-03 06:55:00+00:00,68093.921875,68093.921875,67998.8125,67998.8125,0
2026-03-03 07:00:00+00:00,67954.1875,68125.5,67954.1875,68125.5,0
2026-03-03 07:05:00+00:00,68020.5390625,68084.96875,68015.546875,68073.375,410677248
2026-03-03 07:10:00+00:00,68034.9609375,68040.515625,68003.578125,68025.03125,0
2026-03-03 07:15:00+00:00,68120.1640625,68211.015625,68120.1640625,68145.375,0
2026-03-03 07:20:00+00:00,68188.3046875,68188.3046875,68162.015625,68174.8125,0
2026-03-03 07:25:00+00:00,68208.9140625,68228.6640625,68185.71875,68228.6640625,145985536
2026-03-03 07:30:00+00:00,68151.8359375,68232.953125,68151.8359375,68232.953125,151429120
2026-03-03 07:35:00+00:00,68068.0,68123.828125,68068.0,68123.828125,0
2026-03-03 07:40:00+00:00,68172.453125,68172.453125,68088.2421875,68088.2421875,0
2026-03-03 07:45:00+00:00,68183.390625,68240.46875,68183.390625,68205.546875,73564160
2026-03-03 07:50:00+00:00,68157.3515625,68157.5546875,68157.3515625,68157.5546875,0
2026-03-03 07:55:00+00:00,68182.3203125,68197.34375,68182.3203125,68197.34375,388780032
2026-03-03 08:00:00+00:00,68179.8125,68186.15625,68162.9453125,68172.9140625,0
2026-03-03 08:05:00+00:00,68153.4609375,68173.421875,68144.6484375,68144.9296875,0
2026-03-03 08:10:00+00:00,68191.71875,68248.921875,68158.703125,68158.703125,10899456
